audio_time,solenoid,state
198.900000,52,0
199.083333,52,1
199.150000,52,0
199.316667,52,1
199.383333,52,0
199.416667,51,1
199.566667,52,1
199.616667,51,0
199.633333,52,0
199.750000,51,1
199.800000,51,0
199.983333,51,1
200.050000,51,0
200.233333,51,1
200.283333,51,0
200.466667,51,1
200.533333,51,0
200.716667,51,1
200.766667,51,0
200.900000,53,1
200.933333,17,1
200.933333,18,1
200.950000,51,1
200.966667,53,0
201.016667,51,0
201.050000,54,1
201.116667,54,0
201.216667,54,1
201.283333,54,0
201.400000,6,1
201.533333,6,0
201.600000,9,1
201.733333,9,0
201.800000,10,1
201.866667,10,0
201.933333,14,1
202.066667,14,0
202.133333,12,1
202.200000,12,0
202.266667,13,1
202.400000,13,0
202.416667,53,1
202.483333,53,0
202.566667,54,1
202.633333,54,0
202.733333,6,1
202.933333,6,0
202.933333,9,1
203.066667,9,0
203.133333,10,1
203.266667,10,0
203.266667,14,1
203.333333,14,0
203.466667,12,1
203.533333,12,0
203.600000,13,1
203.733333,13,0
203.800000,1,1
203.866667,1,0
203.933333,2,1
204.000000,2,0
204.083333,54,1
204.150000,54,0
204.250000,54,1
204.316667,54,0
207.800000,17,0
207.800000,18,0
209.733333,33,1
209.733333,34,1
209.766667,33,0
209.866667,34,0
210.000000,33,1
210.000000,34,1
210.033333,33,0
210.150000,34,0
210.266667,33,1
210.266667,34,1
210.300000,33,0
210.400000,34,0
210.600000,5,1
210.733333,5,0
210.733333,16,1
210.866667,16,0
210.933333,3,1
211.000000,3,0
211.066667,4,1
211.133333,4,0
211.200000,15,1
212.683333,52,1
212.883333,52,0
213.033333,52,1
213.066667,15,0
213.083333,52,0
213.266667,52,1
213.333333,52,0
213.516667,52,1
213.566667,52,0
213.750000,52,1
213.816667,52,0
214.000000,52,1
214.050000,52,0
214.150000,51,1
214.233333,52,1
214.300000,52,0
214.366667,51,0
214.483333,51,1
214.533333,51,0
214.716667,51,1
214.783333,51,0
214.966667,51,1
215.016667,51,0
215.200000,51,1
215.266667,51,0
215.450000,51,1
215.500000,51,0
215.633333,53,1
215.666667,17,1
215.666667,18,1
215.683333,51,1
215.700000,53,0
215.750000,51,0
215.816667,54,1
215.883333,54,0
216.000000,6,1
216.133333,6,0
216.166667,54,1
216.233333,54,0
216.333333,9,1
216.466667,9,0
216.533333,10,1
216.600000,10,0
216.666667,14,1
216.800000,14,0
216.866667,12,1
216.933333,12,0
217.000000,13,1
217.133333,13,0
217.150000,53,1
217.216667,53,0
217.316667,54,1
217.383333,54,0
217.533333,6,1
217.666667,6,0
217.733333,9,1
217.800000,9,0
217.866667,10,1
218.000000,10,0
218.066667,14,1
218.200000,12,1
218.200000,14,0
218.333333,12,0
218.400000,13,1
218.533333,1,1
218.533333,13,0
218.666667,1,0
218.733333,2,1
218.800000,2,0
218.866667,54,1
218.933333,54,0
219.016667,54,1
219.083333,54,0
222.533333,17,0
222.533333,18,0
224.483333,33,1
224.483333,34,1
224.516667,33,0
224.616667,34,0
224.750000,33,1
224.750000,34,1
224.783333,33,0
224.883333,34,0
225.016667,33,1
225.016667,34,1
225.050000,33,0
225.150000,34,0
225.333333,5,1
225.466667,5,0
225.466667,16,1
225.600000,16,0
225.666667,3,1
225.800000,3,0
225.800000,4,1
225.933333,4,0
226.000000,15,1
227.433333,52,1
227.633333,52,0
227.766667,52,1
227.800000,15,0
227.816667,52,0
228.000000,52,1
228.050000,52,0
228.250000,52,1
228.300000,52,0
228.483333,52,1
228.533333,52,0
228.733333,52,1
228.783333,52,0
228.900000,51,1
228.966667,52,1
229.016667,52,0
229.100000,51,0
229.216667,51,1
229.266667,51,0
229.450000,51,1
229.500000,51,0
229.700000,51,1
229.750000,51,0
229.933333,51,1
229.983333,51,0
230.183333,51,1
230.233333,51,0
230.383333,53,1
230.400000,17,1
230.400000,18,1
230.416667,51,1
230.450000,53,0
230.466667,51,0
230.566667,54,1
230.633333,54,0
230.733333,6,1
230.866667,6,0
230.916667,54,1
230.983333,54,0
231.133333,9,1
231.200000,9,0
231.266667,10,1
231.333333,10,0
231.466667,14,1
231.533333,14,0
231.600000,12,1
231.666667,12,0
231.733333,13,1
231.866667,13,0
231.900000,53,1
231.966667,53,0
232.066667,54,1
232.133333,54,0
232.266667,6,1
232.400000,6,0
232.466667,9,1
232.533333,9,0
232.600000,10,1
232.733333,10,0
232.800000,14,1
232.866667,14,0
232.933333,12,1
233.066667,12,0
233.133333,13,1
233.200000,13,0
233.266667,1,1
233.400000,1,0
233.466667,2,1
233.533333,2,0
233.583333,54,1
233.650000,54,0
233.750000,54,1
233.816667,54,0
237.266667,17,0
237.266667,18,0
239.233333,33,1
239.233333,34,1
239.266667,33,0
239.350000,34,0
239.483333,33,1
239.483333,34,1
239.516667,33,0
239.633333,34,0
239.766667,33,1
239.766667,34,1
239.800000,33,0
239.900000,34,0
