Ref,Val,Package,PosX,PosY,Rot,Side
"J134","J134 lamp rows (spare)","Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical",369.365000,-257.772000,180.000000,top
"J135","J135 lamp rows (playfield)","Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical",369.365000,-267.490000,180.000000,top
"J136","J136 lamp column 8 (cabinet)","Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical",384.373000,-265.300000,180.000000,top
"J137","J137 lamp columns (playfield)","Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical",422.659000,-246.875000,180.000000,top
"J138","J138 lamp columns (backbox)","Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical",422.659000,-265.300000,180.000000,top
"L1","10uH","L_Bourns_SRP1245A",253.161000,-66.787000,-90.000000,top
"L2","10uH","L_Bourns_SRP1245A",127.602000,-77.287000,-90.000000,top
"LED1","LED red","LED_0805_2012Metric",19.532000,-130.353000,-90.000000,top
"LED2","LED red","LED_0805_2012Metric",63.542000,-60.356000,-90.000000,top
"LED3","LED red (ZC)","LED_0805_2012Metric",73.434000,-60.356000,-90.000000,top
"LED4","LED red","LED_0805_2012Metric",186.015000,-88.439000,-90.000000,top
"LED5","LED red","LED_0805_2012Metric",340.762000,-38.945000,-90.000000,top
"LED6","LED red","LED_0805_2012Metric",342.258000,-98.498000,-90.000000,top
"LED7","LED red","LED_0805_2012Metric",43.423000,-51.974000,-90.000000,top
"Q9","MMBT4401","SOT-23",140.496000,-208.423000,-90.000000,top
"Q10","BTA16-600CRG","TO-220-3_Vertical",117.444000,-207.450000,-90.000000,top
"Q11","MMBT4401","SOT-23",60.189000,-158.526000,-90.000000,top
"Q12","BTA16-600CRG","TO-220-3_Vertical",38.393000,-156.734000,-90.000000,top
"Q13","MMBT4401","SOT-23",97.744000,-131.720000,-90.000000,top
"Q14","BTA16-600CRG","TO-220-3_Vertical",78.044000,-129.909000,-90.000000,top
"Q15","MMBT4401","SOT-23",99.420000,-182.855000,-90.000000,top
"Q16","BTA16-600CRG","TO-220-3_Vertical",78.044000,-182.302000,-90.000000,top
"Q17","MMBT4401","SOT-23",140.496000,-156.868000,-90.000000,top
"Q18","BTA16-600CRG","TO-220-3_Vertical",128.341000,-155.057000,-90.000000,top
"Q20","IPD90N10S4L06ATMA1","TO-252-2",164.435000,-147.327000,0.000000,top
"Q22","IPD90N10S4L06ATMA1","TO-252-2",164.435000,-173.733000,0.000000,top
"Q24","IPD90N10S4L06ATMA1","TO-252-2",164.435000,-200.139000,0.000000,top
"Q26","IPD90N10S4L06ATMA1","TO-252-2",164.435000,-226.545000,0.000000,top
"Q28","IPD90N10S4L06ATMA1","TO-252-2",197.966000,-148.820000,0.000000,top
"Q30","IPD90N10S4L06ATMA1","TO-252-2",197.966000,-175.226000,0.000000,top
"Q32","IPD90N10S4L06ATMA1","TO-252-2",197.966000,-201.634000,0.000000,top
"Q34","IPD90N10S4L06ATMA1","TO-252-2",197.966000,-228.038000,0.000000,top
"Q36","IPD90N10S4L06ATMA1","TO-252-2",221.438000,-148.820000,0.000000,top
"Q38","IPD90N10S4L06ATMA1","TO-252-2",221.438000,-175.226000,0.000000,top
"Q40","IPD90N10S4L06ATMA1","TO-252-2",221.438000,-201.634000,0.000000,top
"Q42","IPD90N10S4L06ATMA1","TO-252-2",221.438000,-228.038000,0.000000,top
"Q44","IPD90N10S4L06ATMA1","TO-252-2",245.161000,-147.327000,0.000000,top
"Q46","IPD90N10S4L06ATMA1","TO-252-2",245.161000,-173.733000,0.000000,top
"Q48","IPD90N10S4L06ATMA1","TO-252-2",245.161000,-200.139000,0.000000,top
"Q50","IPD90N10S4L06ATMA1","TO-252-2",245.161000,-226.545000,0.000000,top
"Q52","IPD90N10S4L06ATMA1","TO-252-2",266.957000,-147.327000,0.000000,top
"Q54","IPD90N10S4L06ATMA1","TO-252-2",266.957000,-173.733000,0.000000,top
"Q56","IPD90N10S4L06ATMA1","TO-252-2",266.957000,-200.139000,0.000000,top
"Q58","IPD90N10S4L06ATMA1","TO-252-2",266.957000,-226.545000,0.000000,top
"Q64","IPD90N10S4L06ATMA1","TO-252-2",287.913000,-150.970000,0.000000,top
"Q66","IPD90N10S4L06ATMA1","TO-252-2",287.913000,-176.532000,0.000000,top
"Q68","IPD90N10S4L06ATMA1","TO-252-2",287.913000,-202.112000,0.000000,top
"Q70","IPD90N10S4L06ATMA1","TO-252-2",287.913000,-227.680000,0.000000,top
"Q76","IPD90N10S4L06ATMA1","TO-252-2",312.475000,-150.970000,0.000000,top
"Q78","IPD90N10S4L06ATMA1","TO-252-2",312.475000,-176.532000,0.000000,top
"Q80","IPD90N10S4L06ATMA1","TO-252-2",312.475000,-202.112000,0.000000,top
"Q82","IPD90N10S4L06ATMA1","TO-252-2",312.475000,-227.680000,0.000000,top
"Q83","IRLR024NTRPBF","TO-252-2",354.687000,-181.400000,0.000000,top
"Q84","IRLR024NTRPBF","TO-252-2",354.512000,-198.254000,0.000000,top
"Q85","IRLR024NTRPBF","TO-252-2",354.660000,-215.126000,0.000000,top
"Q86","IRLR024NTRPBF","TO-252-2",354.512000,-231.986000,0.000000,top
"Q87","IRLR024NTRPBF","TO-252-2",376.387000,-181.436000,0.000000,top
"Q88","IRLR024NTRPBF","TO-252-2",376.511000,-198.260000,0.000000,top
"Q89","IRLR024NTRPBF","TO-252-2",376.382000,-215.095000,0.000000,top
"Q90","IRLR024NTRPBF","TO-252-2",376.511000,-231.972000,0.000000,top
"Q91","IRFR5305TRPBF","TO-252-2",411.644000,-181.479000,0.000000,top
"Q92","IRFR5305TRPBF","TO-252-2",411.644000,-198.343000,0.000000,top
"Q93","IRFR5305TRPBF","TO-252-2",411.644000,-215.218000,0.000000,top
"Q94","IRFR5305TRPBF","TO-252-2",411.644000,-232.061000,0.000000,top
"Q95","IRFR5305TRPBF","TO-252-2",433.440000,-189.505000,0.000000,top
"Q96","IRFR5305TRPBF","TO-252-2",433.440000,-206.369000,0.000000,top
"Q97","IRFR5305TRPBF","TO-252-2",433.440000,-223.224000,0.000000,top
"Q98","IRFR5305TRPBF","TO-252-2",433.510000,-240.089000,0.000000,top
"R3","10K","R_0805_2012Metric",74.462000,-71.972000,0.000000,top
"R4","10K","R_0805_2012Metric",69.052000,-69.997000,0.000000,top
"R6","10K","R_0805_2012Metric",75.758000,-68.022000,0.000000,top
"R7","27","R_2512_6332Metric",140.496000,-214.312000,0.000000,top
"R8","470","R_0805_2012Metric",120.378000,-114.972000,0.000000,top
"R9","10K","R_0805_2012Metric",140.496000,-203.493000,0.000000,top
"R10","27","R_2512_6332Metric",60.189000,-164.436000,0.000000,top
"R11","470","R_0805_2012Metric",120.378000,-118.878000,0.000000,top
"R12","10K","R_0805_2012Metric",60.189000,-153.646000,0.000000,top
"R13","27","R_2512_6332Metric",97.744000,-137.609000,0.000000,top
"R14","470","R_0805_2012Metric",120.378000,-122.793000,0.000000,top
"R15","10K","R_0805_2012Metric",97.744000,-126.790000,0.000000,top
"R16","27","R_2512_6332Metric",99.420000,-188.745000,0.000000,top
"R17","470","R_0805_2012Metric",120.378000,-126.743000,0.000000,top
"R18","10K","R_0805_2012Metric",99.420000,-177.925000,0.000000,top
"R19","27","R_2512_6332Metric",140.496000,-162.758000,0.000000,top
"R20","470","R_0805_2012Metric",120.378000,-130.657000,0.000000,top
"R21","10K","R_0805_2012Metric",140.496000,-151.938000,0.000000,top
"R22","100","R_0805_2012Metric",163.382000,-136.913000,0.000000,top
"R23","10K","R_0805_2012Metric",163.382000,-140.863000,0.000000,top
"R26","100","R_0805_2012Metric",163.382000,-163.318000,0.000000,top
"R27","10K","R_0805_2012Metric",163.382000,-167.268000,0.000000,top
"R30","100","R_0805_2012Metric",163.382000,-189.718000,0.000000,top
"R31","10K","R_0805_2012Metric",163.382000,-193.668000,0.000000,top
"R34","100","R_0805_2012Metric",163.382000,-216.130000,0.000000,top
"R35","10K","R_0805_2012Metric",163.382000,-220.080000,0.000000,top
"R38","100","R_0805_2012Metric",196.913000,-138.396000,0.000000,top
"R39","10K","R_0805_2012Metric",196.913000,-142.346000,0.000000,top
"R42","100","R_0805_2012Metric",196.913000,-164.802000,0.000000,top
"R43","10K","R_0805_2012Metric",196.913000,-168.752000,0.000000,top
"R46","100","R_0805_2012Metric",196.913000,-191.215000,0.000000,top
"R47","10K","R_0805_2012Metric",196.913000,-195.165000,0.000000,top
"R50","100","R_0805_2012Metric",196.913000,-217.614000,0.000000,top
"R51","10K","R_0805_2012Metric",196.913000,-221.564000,0.000000,top
"R54","100","R_0805_2012Metric",220.385000,-138.396000,0.000000,top
"R55","10K","R_0805_2012Metric",220.385000,-142.346000,0.000000,top
"R58","100","R_0805_2012Metric",220.385000,-164.802000,0.000000,top
"R59","10K","R_0805_2012Metric",220.385000,-168.752000,0.000000,top
"R62","100","R_0805_2012Metric",220.385000,-191.215000,0.000000,top
"R63","10K","R_0805_2012Metric",220.385000,-195.165000,0.000000,top
"R66","100","R_0805_2012Metric",220.385000,-217.614000,0.000000,top
"R67","10K","R_0805_2012Metric",220.385000,-221.564000,0.000000,top
"R70","100","R_0805_2012Metric",244.108000,-136.913000,0.000000,top
"R71","10K","R_0805_2012Metric",244.108000,-140.863000,0.000000,top
"R74","100","R_0805_2012Metric",244.108000,-163.318000,0.000000,top
"R75","10K","R_0805_2012Metric",244.108000,-167.268000,0.000000,top
"R78","100","R_0805_2012Metric",244.108000,-189.718000,0.000000,top
"R79","10K","R_0805_2012Metric",244.108000,-193.668000,0.000000,top
"R82","100","R_0805_2012Metric",244.108000,-216.130000,0.000000,top
"R83","10K","R_0805_2012Metric",244.108000,-220.080000,0.000000,top
"R86","100","R_0805_2012Metric",265.904000,-136.913000,0.000000,top
"R87","10K","R_0805_2012Metric",265.904000,-140.863000,0.000000,top
"R90","100","R_0805_2012Metric",265.904000,-163.318000,0.000000,top
"R91","10K","R_0805_2012Metric",265.904000,-167.268000,0.000000,top
"R94","100","R_0805_2012Metric",265.904000,-189.718000,0.000000,top
"R95","10K","R_0805_2012Metric",265.904000,-193.668000,0.000000,top
"R98","100","R_0805_2012Metric",265.904000,-216.130000,0.000000,top
"R99","10K","R_0805_2012Metric",265.904000,-220.080000,0.000000,top
"R126","10K","R_0805_2012Metric",286.861000,-140.617000,0.000000,top
"R127","100","R_0805_2012Metric",286.861000,-144.520000,0.000000,top
"R128","10K","R_0805_2012Metric",286.861000,-166.129000,0.000000,top
"R129","100","R_0805_2012Metric",286.861000,-170.079000,0.000000,top
"R130","10K","R_0805_2012Metric",286.861000,-191.712000,0.000000,top
