Designator,Mid X,Mid Y,Layer,Rotation
R266,267.505000,-74.115000,Top,270.000000
R267,155.701000,-65.386000,Top,0.000000
R268,158.027000,-69.578000,Top,0.000000
R269,158.032000,-73.769000,Top,0.000000
R270,149.881000,-83.828000,Top,270.000000
R271,140.180000,-88.024000,Top,270.000000
R272,135.852000,-88.822000,Top,270.000000
R301,367.021000,-230.528000,Top,270.000000
R302,366.991000,-220.050000,Top,270.000000
R303,366.991000,-209.571000,Top,270.000000
R304,366.996000,-199.092000,Top,270.000000
R305,345.004000,-230.528000,Top,270.000000
R306,345.319000,-221.342000,Top,270.000000
R307,344.914000,-209.571000,Top,270.000000
R308,345.312000,-187.164000,Top,270.000000
R310,20.000000,-110.000000,Top,0.000000
R311,20.000000,-107.000000,Top,0.000000
R312,20.000000,-104.000000,Top,0.000000
R313,16.000000,-109.000000,Top,180.000000
R314,39.000000,-93.000000,Top,90.000000
R315,19.000000,-97.000000,Top,270.000000
R316,16.000000,-112.000000,Top,180.000000
R317,74.000000,-65.000000,Top,0.000000
R318,16.000000,-101.000000,Top,90.000000
R319,20.000000,-86.000000,Top,270.000000
R320,42.000000,-93.000000,Top,0.000000
R321,20.000000,-118.000000,Top,270.000000
R322,24.000000,-93.000000,Top,0.000000
R323,16.000000,-106.000000,Top,180.000000
R324,17.000000,-85.000000,Top,180.000000
R325,16.000000,-115.000000,Top,180.000000
U1,151.646000,-107.300000,Top,180.000000
U2,170.842000,-107.300000,Top,0.000000
U3,190.123000,-107.300000,Top,0.000000
U4,220.972000,-107.300000,Top,0.000000
U5,260.539000,-107.300000,Top,0.000000
U6,92.122000,-71.490000,Top,0.000000
U9,336.358000,-121.970000,Top,0.000000
U10,333.772000,-149.885000,Top,0.000000
U11,354.225000,-149.717000,Top,0.000000
U12,375.455000,-149.634000,Top,0.000000
U13,388.823000,-149.634000,Top,0.000000
U15,343.857000,-167.411000,Top,0.000000
U16,380.987000,-171.333000,Top,0.000000
U18,408.408000,-165.417000,Top,0.000000
U19,425.010000,-171.681000,Top,0.000000
U20,277.142000,-65.218000,Top,270.000000
U21,151.547000,-74.741000,Top,270.000000
W1,16.990000,-204.541000,Top,270.000000
