Designator,Parent,Quantity_per_board,Value,MPN,Manufacturer,Footprint,JLCPCB_part,Library,Assembly,Assembly_note
J105,J105,1,"J105 fused 51VAC (F112, pins 1/2) and fused 16VAC (F111, pins 4/5) to the playfield - parallel to J104 as on A-12697 sheet 1 (N/C on STTNG)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual,
J106,J106,1,"J106 +20V to backbox flashlamps (pins 1-4 open, key 4)",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual,
J107,J107,1,"J107 +50V (F103/F104/F105) and +20V (pins 5,6) to playfield",640445-6,TE Connectivity,wpc_cost:TE_J107_Prepared,C86500,Extended,Through-hole/manual,
J108,J108,1,J108 +50V (F103/F104/F105) to cabinet (N/C on STTNG),26604030,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,C240823,Extended,Through-hole/manual,
J109,J109,1,J109 spare (N/C),640445-7,TE Connectivity,wpc_cost:TE_J109_Prepared,C305801,Extended,Through-hole/manual,
J110,J110,1,J110 spare (N/C),640445-9,TE Connectivity,wpc_cost:TE_J110_Prepared,C305802,Extended,Through-hole/manual,
J111,J111,1,"J111 G.I. latch spare bits T5-T7 (GPIO as on the original board, e.g. shot-clock drive; N/C on STTNG)",22232051,MOLEX,Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,C588986,Extended,Through-hole/manual,
J112,J112,1,J112 xformer 9.8VAC (Wht-Grn),26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual,
J113,J113,1,34-pin ribbon to CPU J211,EH254V-12-34P,XFCN,wpc_cost:XFCN_EH254V_12_34P,C5200275,Extended,Through-hole/manual,
J114,J114,1,"J114 +12V/+5V/GND to CPU J210, Fliptronic J904, 8-driver",640445-7,TE Connectivity,wpc_cost:TE_J114_Prepared,C305801,Extended,Through-hole/manual,
J115,J115,2,"J115 G.I. 6.3VAC from transformer: 2-6 string hot ends (one fuse each), 7/8/10/11/12 winding return ends (triac MT1), 1 = GND REF",640445-6,TE Connectivity,wpc_cost:TE_J115_Prepared,C86500,Extended,Through-hole/manual,Two 640445-6 headers: J115A pins 1-6; J115B pins 7-12. Align friction walls; dress seam if necessary. Preserve pin-1/key mapping.
J116,J116,1,J116 +12V power (unregulated) / GND / +5V to coin door,26604040,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,C240824,Extended,Through-hole/manual,
J117,J117,1,J117 +12V power (unregulated) / GND / +5V to DMD controller,26604040,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,C240824,Extended,Through-hole/manual,
J118,J118,1,"J118 +12V power (unregulated) / GND / +5V to playfield boards (optos, gun motors)",26604040,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,C240824,Extended,Through-hole/manual,
J119,J119,1,J119 G.I. coin door (string 5),26604030,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical,C240823,Extended,Through-hole/manual,
J120,J120,1,"J120 G.I. strings 1-5 (backbox harness uses strings 2,3)",1-640445-3,TE Connectivity,wpc_cost:TE_J120_Prepared,C592598,Extended,Through-hole/manual,Trim 13-position 1-640445-3 to 11: remove pins/body 12-13 at far end. Preserve pin 1 and friction wall; deburr.
J121,J121,1,"J121 G.I. strings 1-5 (playfield harness uses strings 1,4,5)",1-640445-3,TE Connectivity,wpc_cost:TE_J121_Prepared,C592598,Extended,Through-hole/manual,Trim 13-position 1-640445-3 to 11: remove pins/body 12-13 at far end. Preserve pin 1 and friction wall; deburr.
