 time            v(vout)         v(vinf)         v(en)           i(L1)          
 2.77000000e-04  3.15262852e-09  2.38807051e-01  4.93192083e-02  2.41193110e-08 
 2.78000000e-04  3.19232433e-09  2.40582098e-01  4.94218513e-02  2.42985887e-08 
 2.79000000e-04  3.23228809e-09  2.42359095e-01  4.95223282e-02  2.44780635e-08 
 2.80000000e-04  3.27252005e-09  2.44138034e-01  4.96206947e-02  2.46577344e-08 
 2.81000000e-04  3.31302045e-09  2.45918908e-01  4.97170061e-02  2.48376006e-08 
 2.82000000e-04  3.35378955e-09  2.47701708e-01  4.98113172e-02  2.50176613e-08 
 2.83000000e-04  3.39482758e-09  2.49486425e-01  4.99036821e-02  2.51979157e-08 
 2.84000000e-04  3.43613480e-09  2.51273052e-01  4.99941542e-02  2.53783630e-08 
 2.85000000e-04  3.47771145e-09  2.53061580e-01  5.00827858e-02  2.55590023e-08 
 2.86000000e-04  3.51955778e-09  2.54852003e-01  5.01696285e-02  2.57398328e-08 
 2.87000000e-04  3.56167401e-09  2.56644312e-01  5.02547325e-02  2.59208539e-08 
 2.88000000e-04  3.60406041e-09  2.58438500e-01  5.03381471e-02  2.61020648e-08 
 2.89000000e-04  3.64671720e-09  2.60234560e-01  5.04199204e-02  2.62834646e-08 
