 time            v(vout)         v(vinf)         v(en)           i(L1)          
 0.00000000e+00  1.19999998e+01 -7.00313214e-07  5.18776596e-05 -4.10731170e-07 
 2.05000000e-04  4.11936177e-01  1.56621521e+00  5.95081215e-02 -2.27347893e+01 
 2.06000000e-04  3.84675079e-01  1.55308316e+00  5.94817610e-02 -2.24395094e+01 
 2.07000000e-04  3.57838246e-01  1.53997192e+00  5.94551757e-02 -2.21450517e+01 
 2.08000000e-04  3.31423645e-01  1.52688323e+00  5.94283652e-02 -2.18514502e+01 
 2.09000000e-04  3.05429207e-01  1.51381881e+00  5.94013288e-02 -2.15587381e+01 
 2.10000000e-04  2.79852830e-01  1.50078033e+00  5.93740659e-02 -2.12669480e+01 
 2.11000000e-04  2.54692375e-01  1.48776945e+00  5.93465759e-02 -2.09761119e+01 
 2.12000000e-04  2.29945669e-01  1.47478779e+00  5.93188582e-02 -2.06862613e+01 
 2.13000000e-04  2.05610508e-01  1.46183694e+00  5.92909121e-02 -2.03974270e+01 
 2.14000000e-04  1.81684656e-01  1.44891848e+00  5.92627369e-02 -2.01096391e+01 
 2.15000000e-04  1.58165844e-01  1.43603394e+00  5.92343318e-02 -1.98229273e+01 
 2.16000000e-04  1.35051775e-01  1.42318484e+00  5.92056962e-02 -1.95373204e+01 
 2.17000000e-04  1.12340121e-01  1.41037266e+00  5.91768292e-02 -1.92528469e+01 
 2.18000000e-04  9.00285252e-02  1.39759885e+00  5.91477299e-02 -1.89695346e+01 
 2.19000000e-04  6.81146039e-02  1.38486486e+00  5.91183976e-02 -1.86874107e+01 
 2.20000000e-04  4.65959453e-02  1.37217207e+00  5.90888315e-02 -1.84065019e+01 
 2.21000000e-04  2.54701117e-02  1.35952187e+00  5.90590305e-02 -1.81268340e+01 
 2.22000000e-04  4.73463941e-03  1.34691560e+00  5.90289938e-02 -1.78484328e+01 
 2.23000000e-04 -1.56129598e-02  1.33435460e+00  5.89987204e-02 -1.75713229e+01 
 2.24000000e-04 -3.55751985e-02  1.32184015e+00  5.89682094e-02 -1.72955288e+01 
 2.25000000e-04 -5.51546125e-02  1.30937352e+00  5.89374597e-02 -1.70210743e+01 
 2.26000000e-04 -7.43537605e-02  1.29695598e+00  5.89064703e-02 -1.67479826e+01 
 2.27000000e-04 -9.31752227e-02  1.28458873e+00  5.88752401e-02 -1.64762763e+01 
 2.28000000e-04 -1.11621601e-01  1.27227297e+00  5.88437681e-02 -1.62059775e+01 
 2.29000000e-04 -1.29695517e-01  1.26000989e+00  5.88120532e-02 -1.59371080e+01 
 2.30000000e-04 -1.47399613e-01  1.24780063e+00  5.87800942e-02 -1.56696885e+01 
 2.31000000e-04 -1.64736550e-01  1.23564632e+00  5.87478900e-02 -1.54037398e+01 
 2.32000000e-04 -1.81709006e-01  1.22354808e+00  5.87154393e-02 -1.51392818e+01 
 2.33000000e-04 -1.98319680e-01  1.21150700e+00  5.86827412e-02 -1.48763339e+01 
 2.34000000e-04 -2.14571284e-01  1.19952418e+00  5.86497944e-02 -1.46149150e+01 
 2.35000000e-04 -2.30466549e-01  1.18760068e+00  5.86165977e-02 -1.43550436e+01 
 2.36000000e-04 -2.46008220e-01  1.17573757e+00  5.85831501e-02 -1.40967375e+01 
 2.37000000e-04 -2.61199058e-01  1.16393595e+00  5.85494505e-02 -1.38400142e+01 
 2.38000000e-04 -2.76041836e-01  1.15219691e+00  5.85154981e-02 -1.35848904e+01 
 2.39000000e-04 -2.90539344e-01  1.14052159e+00  5.84812920e-02 -1.33313826e+01 
 2.40000000e-04 -3.04694381e-01  1.12891117e+00  5.84468318e-02 -1.30795066e+01 
 2.41000000e-04 -3.18509759e-01  1.11736694e+00  5.84121173e-02 -1.28292777e+01 
 2.42000000e-04 -3.31988301e-01  1.10589029e+00  5.83771489e-02 -1.25807107e+01 
 2.43000000e-04 -3.45132839e-01  1.09448282e+00  5.83419275e-02 -1.23338198e+01 
 2.44000000e-04 -3.57946214e-01  1.08314636e+00  5.83064551e-02 -1.20886188e+01 
 2.45000000e-04 -3.70431274e-01  1.07188309e+00  5.82707352e-02 -1.18451207e+01 
 2.46000000e-04 -3.82590873e-01  1.06069569e+00  5.82347728e-02 -1.16033381e+01 
 2.47000000e-04 -3.94427868e-01  1.04958745e+00  5.81985756e-02 -1.13632827e+01 
 2.48000000e-04 -4.05945116e-01  1.03856253e+00  5.81621548e-02 -1.11249657e+01 
 2.49000000e-04 -4.17145473e-01  1.02762619e+00  5.81255259e-02 -1.08883972e+01 
 2.50000000e-04 -4.28031790e-01  1.01678511e+00  5.80887101e-02 -1.06535867e+01 
 2.51000000e-04 -4.38606906e-01  1.00604774e+00  5.80517364e-02 -1.04205422e+01 
 2.52000000e-04 -4.48873644e-01  9.95424678e-01  5.80146426e-02 -1.01892706e+01 
 2.53000000e-04 -4.58834806e-01  9.84928931e-01  5.79774776e-02 -9.95977747e+00 
 2.54000000e-04 -4.68493162e-01  9.74576127e-01  5.79403026e-02 -9.73206635e+00 
 2.55000000e-04 -4.77851444e-01  9.64384385e-01  5.79031911e-02 -9.50613893e+00 
 2.56000000e-04 -4.86912337e-01  9.54373798e-01  5.78662281e-02 -9.28199470e+00 
 2.57000000e-04 -4.95678475e-01  9.44565399e-01  5.78295069e-02 -9.05963085e+00 
 2.58000000e-04 -5.04152435e-01  9.34979634e-01  5.77931229e-02 -8.83904223e+00 
 2.59000000e-04 -5.12336736e-01  9.25634540e-01  5.77571674e-02 -8.62022156e+00 
 2.60000000e-04 -5.20233843e-01  9.16543975e-01  5.77217194e-02 -8.40315979e+00 
 2.61000000e-04 -5.27846176e-01  9.07716316e-01  5.76868393e-02 -8.18784656e+00 
 2.62000000e-04 -5.35176123e-01  8.99153924e-01  5.76525659e-02 -7.97427083e+00 
 2.63000000e-04 -5.42226048e-01  8.90853445e-01  5.76189150e-02 -7.76242146e+00 
 2.64000000e-04 -5.48998305e-01  8.82806769e-01  5.75858830e-02 -7.55228776e+00 
 2.65000000e-04 -5.55495250e-01  8.75002343e-01  5.75534502e-02 -7.34385985e+00 
 2.66000000e-04 -5.61719249e-01  8.67426527e-01  5.75215861e-02 -7.13712899e+00 
 2.67000000e-04 -5.67672681e-01  8.60064773e-01  5.74902540e-02 -6.93208766e+00 
 2.68000000e-04 -5.73357942e-01  8.52902528e-01  5.74594145e-02 -6.72872964e+00 
 2.69000000e-04 -5.78777447e-01  8.45925845e-01  5.74290280e-02 -6.52704993e+00 
 2.70000000e-04 -5.83933631e-01  8.39121744e-01  5.73990570e-02 -6.32704470e+00 
 2.71000000e-04 -5.88828946e-01  8.32478390e-01  5.73694665e-02 -6.12871112e+00 
 2.72000000e-04 -5.93465860e-01  8.25985139e-01  5.73402251e-02 -5.93204728e+00 
 2.73000000e-04 -5.97846856e-01  8.19632509e-01  5.73113045e-02 -5.73705207e+00 
 2.74000000e-04 -6.01974432e-01  8.13412102e-01  5.72826801e-02 -5.54372501e+00 
 2.75000000e-04 -6.05851097e-01  8.07316508e-01  5.72543303e-02 -5.35206619e+00 
 2.76000000e-04 -6.09479372e-01  8.01339196e-01  5.72262364e-02 -5.16207615e+00 
 2.77000000e-04 -6.12861784e-01  7.95474418e-01  5.71983825e-02 -4.97375581e+00 
 2.78000000e-04 -6.16000872e-01  7.89717111e-01  5.71707547e-02 -4.78710638e+00 
 2.79000000e-04 -6.18899180e-01  7.84062810e-01  5.71433416e-02 -4.60212929e+00 
 2.80000000e-04 -6.21559259e-01  7.78507571e-01  5.71161335e-02 -4.41882615e+00 
 2.81000000e-04 -6.23983664e-01  7.73047907e-01  5.70891222e-02 -4.23719870e+00 
 2.82000000e-04 -6.26174956e-01  7.67680724e-01  5.70623011e-02 -4.05724876e+00 
