 time            v(vout)         v(vinf)         v(en)           i(L1)          
 0.00000000e+00  5.10499956e+00 -3.66748881e-07  4.12063282e-05 -6.03707454e-07 
 1.92000000e-04  4.60245158e-01  8.72560740e-01  5.82854264e-02 -1.02421033e+01 
 1.93000000e-04  4.47758637e-01  8.67477968e-01  5.82674731e-02 -1.01146291e+01 
 1.94000000e-04  4.35460141e-01  8.62389755e-01  5.82493771e-02 -9.98738272e+00 
 1.95000000e-04  4.23348879e-01  8.57297019e-01  5.82311398e-02 -9.86038163e+00 
 1.96000000e-04  4.11424045e-01  8.52200662e-01  5.82127622e-02 -9.73364307e+00 
 1.97000000e-04  3.99684812e-01  8.47101575e-01  5.81942455e-02 -9.60718395e+00 
 1.98000000e-04  3.88130335e-01  8.42000636e-01  5.81755911e-02 -9.48102089e+00 
 1.99000000e-04  3.76759753e-01  8.36898711e-01  5.81568000e-02 -9.35517024e+00 
 2.00000000e-04  3.65572185e-01  8.31796651e-01  5.81378735e-02 -9.22964801e+00 
 2.01000000e-04  3.54566735e-01  8.26695296e-01  5.81188127e-02 -9.10446997e+00 
 2.02000000e-04  3.43742490e-01  8.21595474e-01  5.80996190e-02 -8.97965155e+00 
 2.03000000e-04  3.33098520e-01  8.16497999e-01  5.80802935e-02 -8.85520793e+00 
 2.04000000e-04  3.22633880e-01  8.11403674e-01  5.80608374e-02 -8.73115398e+00 
 2.05000000e-04  3.12347608e-01  8.06313289e-01  5.80412519e-02 -8.60750430e+00 
 2.06000000e-04  3.02238730e-01  8.01227620e-01  5.80215383e-02 -8.48427319e+00 
 2.07000000e-04  2.92306256e-01  7.96147433e-01  5.80016978e-02 -8.36147469e+00 
 2.08000000e-04  2.82549179e-01  7.91073482e-01  5.79817316e-02 -8.23912254e+00 
 2.09000000e-04  2.72966482e-01  7.86006506e-01  5.79616410e-02 -8.11723021e+00 
 2.10000000e-04  2.63557132e-01  7.80947236e-01  5.79414272e-02 -7.99581091e+00 
 2.11000000e-04  2.54320085e-01  7.75896387e-01  5.79210915e-02 -7.87487755e+00 
 2.12000000e-04  2.45254283e-01  7.70854664e-01  5.79006351e-02 -7.75444280e+00 
 2.13000000e-04  2.36358654e-01  7.65822761e-01  5.78800594e-02 -7.63451902e+00 
 2.14000000e-04  2.27632116e-01  7.60801359e-01  5.78593655e-02 -7.51511833e+00 
 2.15000000e-04  2.19073576e-01  7.55791127e-01  5.78385549e-02 -7.39625259e+00 
 2.16000000e-04  2.10681927e-01  7.50792723e-01  5.78176287e-02 -7.27793338e+00 
 2.17000000e-04  2.02456053e-01  7.45806794e-01  5.77965884e-02 -7.16017202e+00 
 2.18000000e-04  1.94394827e-01  7.40833975e-01  5.77754353e-02 -7.04297958e+00 
 2.19000000e-04  1.86497111e-01  7.35874889e-01  5.77541706e-02 -6.92636687e+00 
 2.20000000e-04  1.78761758e-01  7.30930150e-01  5.77327958e-02 -6.81034444e+00 
 2.21000000e-04  1.71187610e-01  7.26000359e-01  5.77113123e-02 -6.69492258e+00 
 2.22000000e-04  1.63773501e-01  7.21086106e-01  5.76897214e-02 -6.58011136e+00 
 2.23000000e-04  1.56518256e-01  7.16187972e-01  5.76680245e-02 -6.46592055e+00 
 2.24000000e-04  1.49420690e-01  7.11306525e-01  5.76462230e-02 -6.35235973e+00 
 2.25000000e-04  1.42479610e-01  7.06442325e-01  5.76243185e-02 -6.23943819e+00 
 2.26000000e-04  1.35693817e-01  7.01595921e-01  5.76023123e-02 -6.12716500e+00 
 2.27000000e-04  1.29062103e-01  6.96767850e-01  5.75802060e-02 -6.01554899e+00 
 2.28000000e-04  1.22583250e-01  6.91958642e-01  5.75580010e-02 -5.90459873e+00 
 2.29000000e-04  1.16256038e-01  6.87168816e-01  5.75356989e-02 -5.79432258e+00 
 2.30000000e-04  1.10079236e-01  6.82398883e-01  5.75133012e-02 -5.68472866e+00 
 2.31000000e-04  1.04051609e-01  6.77649342e-01  5.74908096e-02 -5.57582483e+00 
 2.32000000e-04  9.81719142e-02  6.72920687e-01  5.74682257e-02 -5.46761877e+00 
 2.33000000e-04  9.24389041e-02  6.68213403e-01  5.74455511e-02 -5.36011788e+00 
 2.34000000e-04  8.68513251e-02  6.63527965e-01  5.74227874e-02 -5.25332937e+00 
 2.35000000e-04  8.14079186e-02  6.58864844e-01  5.73999365e-02 -5.14726021e+00 
 2.36000000e-04  7.61074207e-02  6.54224502e-01  5.73770001e-02 -5.04191715e+00 
 2.37000000e-04  7.09485629e-02  6.49607398e-01  5.73539801e-02 -4.93730672e+00 
 2.38000000e-04  6.59300725e-02  6.45013982e-01  5.73308782e-02 -4.83343523e+00 
 2.39000000e-04  6.10506724e-02  6.40444704e-01  5.73076965e-02 -4.73030877e+00 
 2.40000000e-04  5.63090818e-02  6.35900007e-01  5.72844370e-02 -4.62793323e+00 
 2.41000000e-04  5.17040165e-02  6.31380335e-01  5.72611017e-02 -4.52631426e+00 
 2.42000000e-04  4.72341886e-02  6.26886130e-01  5.72376928e-02 -4.42545733e+00 
 2.43000000e-04  4.28983076e-02  6.22417835e-01  5.72142125e-02 -4.32536768e+00 
 2.44000000e-04  3.86950803e-02  6.17975896e-01  5.71906632e-02 -4.22605033e+00 
 2.45000000e-04  3.46232107e-02  6.13560762e-01  5.71670475e-02 -4.12751012e+00 
 2.46000000e-04  3.06814012e-02  6.09172891e-01  5.71433679e-02 -4.02975165e+00 
 2.47000000e-04  2.68683520e-02  6.04812748e-01  5.71196272e-02 -3.93277935e+00 
 2.48000000e-04  2.31827618e-02  6.00480812e-01  5.70958283e-02 -3.83659741e+00 
 2.49000000e-04  1.96233283e-02  5.96177576e-01  5.70719744e-02 -3.74120984e+00 
 2.50000000e-04  1.61887479e-02  5.91903553e-01  5.70480689e-02 -3.64662043e+00 
 2.51000000e-04  1.28777167e-02  5.87659277e-01  5.70241155e-02 -3.55283275e+00 
 2.52000000e-04  9.68893039e-03  5.83445312e-01  5.70001179e-02 -3.45985020e+00 
 2.53000000e-04  6.62108465e-03  5.79262253e-01  5.69760806e-02 -3.36767594e+00 
 2.54000000e-04  3.67287559e-03  5.75110734e-01  5.69520081e-02 -3.27631294e+00 
 2.55000000e-04  8.43000057e-04  5.70991432e-01  5.69279055e-02 -3.18576393e+00 
 2.56000000e-04 -1.86984401e-03  5.66905075e-01  5.69037784e-02 -3.09603147e+00 
 2.57000000e-04 -4.46695716e-03  5.62852450e-01  5.68796329e-02 -3.00711785e+00 
 2.58000000e-04 -6.94963803e-03  5.58834407e-01  5.68554756e-02 -2.91902518e+00 
 2.59000000e-04 -9.31918294e-03  5.54851872e-01  5.68313139e-02 -2.83175532e+00 
 2.60000000e-04 -1.15768854e-02  5.50905849e-01  5.68071561e-02 -2.74530991e+00 
