 time                v(vout)             v(vinf)             v(en)               i(L1)              
 0.000000000000e+00  1.199999975574e+01 -7.003132139972e-07  5.187765956654e-05 -4.107311702199e-07 
 1.410000000000e-04  3.094786510443e+00  2.346907919606e+00  6.073168880680e-02 -4.127385622431e+01 
 1.420000000000e-04  3.038516911966e+00  2.337474997692e+00  6.071985338507e-02 -4.102777123290e+01 
 1.430000000000e-04  2.982682779523e+00  2.327886547789e+00  6.070776762264e-02 -4.077888985381e+01 
 1.440000000000e-04  2.927286438974e+00  2.318146339174e+00  6.069543306849e-02 -4.052729181531e+01 
 1.450000000000e-04  2.872330113878e+00  2.308258109624e+00  6.068285122072e-02 -4.027305610254e+01 
 1.460000000000e-04  2.817815926649e+00  2.298225565300e+00  6.067002352794e-02 -4.001626095605e+01 
 1.470000000000e-04  2.763745899700e+00  2.288052380630e+00  6.065695139024e-02 -3.975698387057e+01 
 1.480000000000e-04  2.710121956597e+00  2.277742198201e+00  6.064363616033e-02 -3.949530159379e+01 
 1.490000000000e-04  2.656945923198e+00  2.267298628659e+00  6.063007914458e-02 -3.923129012534e+01 
 1.500000000000e-04  2.604218626569e+00  2.256725466364e+00  6.061628203334e-02 -3.896502831839e+01 
 1.510000000000e-04  2.551943500248e+00  2.246025813705e+00  6.060224517448e-02 -3.869658320554e+01 
 1.520000000000e-04  2.500121189372e+00  2.235203419315e+00  6.058797018827e-02 -3.842603252999e+01 
 1.530000000000e-04  2.448753137670e+00  2.224261759301e+00  6.057345819757e-02 -3.815344916798e+01 
 1.540000000000e-04  2.397840699578e+00  2.213204283226e+00  6.055871029107e-02 -3.787890536657e+01 
 1.550000000000e-04  2.347385138704e+00  2.202034408303e+00  6.054372751652e-02 -3.760247262279e+01 
 1.560000000000e-04  2.297387628924e+00  2.190755519272e+00  6.052851088163e-02 -3.732422168206e+01 
 1.570000000000e-04  2.247849255513e+00  2.179370968342e+00  6.051306135467e-02 -3.704422253813e+01 
 1.580000000000e-04  2.198771016271e+00  2.167884075147e+00  6.049737986516e-02 -3.676254443319e+01 
 1.590000000000e-04  2.150153822647e+00  2.156298126706e+00  6.048146730474e-02 -3.647925585804e+01 
 1.600000000000e-04  2.101998500860e+00  2.144616377389e+00  6.046532452768e-02 -3.619442455244e+01 
 1.610000000000e-04  2.054305793019e+00  2.132842048883e+00  6.044895235143e-02 -3.590811750557e+01 
 1.620000000000e-04  2.007076358234e+00  2.120978330175e+00  6.043235155763e-02 -3.562040095653e+01 
 1.630000000000e-04  1.960310773734e+00  2.109028377527e+00  6.041552289212e-02 -3.533134039504e+01 
 1.640000000000e-04  1.914009535966e+00  2.096995314469e+00  6.039846706600e-02 -3.504100056214e+01 
 1.650000000000e-04  1.868173061705e+00  2.084882231788e+00  6.038118475592e-02 -3.474944545115e+01 
 1.660000000000e-04  1.822801689156e+00  2.072692187526e+00  6.036367660462e-02 -3.445673830855e+01 
 1.670000000000e-04  1.777895679045e+00  2.060428206982e+00  6.034594322150e-02 -3.416294163513e+01 
 1.680000000000e-04  1.733455215715e+00  2.048093282725e+00  6.032798518294e-02 -3.386811718710e+01 
 1.690000000000e-04  1.689480408217e+00  2.035690374598e+00  6.030980303289e-02 -3.357232597742e+01 
 1.700000000000e-04  1.645971291389e+00  2.023222409743e+00  6.029139728331e-02 -3.327562827714e+01 
 1.710000000000e-04  1.602927826939e+00  2.010692282621e+00  6.027276841448e-02 -3.297808361687e+01 
 1.720000000000e-04  1.560349904520e+00  1.998102855039e+00  6.025391687539e-02 -3.267975078835e+01 
 1.730000000000e-04  1.518237342804e+00  1.985456956182e+00  6.023484308422e-02 -3.238068784609e+01 
 1.740000000000e-04  1.476589890543e+00  1.972757382651e+00  6.021554742861e-02 -3.208095210912e+01 
 1.750000000000e-04  1.435407227635e+00  1.960006898502e+00  6.019603026596e-02 -3.178060016286e+01 
 1.760000000000e-04  1.394688966180e+00  1.947208235293e+00  6.017629192396e-02 -3.147968786096e+01 
 1.770000000000e-04  1.354434651532e+00  1.934364092135e+00  6.015633270057e-02 -3.117827032738e+01 
 1.780000000000e-04  1.314643763345e+00  1.921477135745e+00  6.013615286462e-02 -3.087640195844e+01 
 1.790000000000e-04  1.275315716616e+00  1.908550000505e+00  6.011575265579e-02 -3.057413642504e+01 
 1.800000000000e-04  1.236449862723e+00  1.895585288522e+00  6.009513228518e-02 -3.027152667484e+01 
 1.810000000000e-04  1.198045490454e+00  1.882585569703e+00  6.007429193525e-02 -2.996862493467e+01 
 1.820000000000e-04  1.160101827034e+00  1.869553381817e+00  6.005323176028e-02 -2.966548271293e+01 
 1.830000000000e-04  1.122618039147e+00  1.856491230574e+00  6.003195188650e-02 -2.936215080201e+01 
 1.840000000000e-04  1.085593233951e+00  1.843401589704e+00  6.001045241218e-02 -2.905867928097e+01 
 1.850000000000e-04  1.049026460086e+00  1.830286901041e+00  5.998873340800e-02 -2.875511751808e+01 
 1.860000000000e-04  1.012916708678e+00  1.817149574606e+00  5.996679491711e-02 -2.845151417360e+01 
 1.870000000000e-04  9.772629143409e-01  1.803991988698e+00  5.994463695530e-02 -2.814791720252e+01 
 1.880000000000e-04  9.420639561642e-01  1.790816489991e+00  5.992225951125e-02 -2.784437385742e+01 
 1.890000000000e-04  9.073186587025e-01  1.777625393629e+00  5.989966254647e-02 -2.754093069143e+01 
 1.900000000000e-04  8.730257929546e-01  1.764420983326e+00  5.987684599554e-02 -2.723763356114e+01 
 1.910000000000e-04  8.391840773393e-01  1.751205511471e+00  5.985380976636e-02 -2.693452762974e+01 
 1.920000000000e-04  8.057921786631e-01  1.737981199238e+00  5.983055373989e-02 -2.663165737007e+01 
 1.930000000000e-04  7.728487130828e-01  1.724750236694e+00  5.980707777065e-02 -2.632906656780e+01 
 1.940000000000e-04  7.403522470613e-01  1.711514782913e+00  5.978338168640e-02 -2.602679832473e+01 
 1.950000000000e-04  7.083012983181e-01  1.698276966098e+00  5.975946528858e-02 -2.572489506201e+01 
 1.960000000000e-04  6.766943367723e-01  1.685038883695e+00  5.973532835211e-02 -2.542339852356e+01 
 1.970000000000e-04  6.455297854804e-01  1.671802602521e+00  5.971097062545e-02 -2.512234977943e+01 
 1.980000000000e-04  6.148060215662e-01  1.658570158889e+00  5.968639183077e-02 -2.482178922930e+01 
