 time                v(vout)             v(vinf)             v(en)               i(L1)              
 0.000000000000e+00  1.199926846611e+01  2.618784163693e-04 -1.004299714660e-04 -1.011861675339e-05 
 1.690000000000e-04  1.142554232504e+00  8.167525909884e-01  5.729808451459e-02 -7.636160976401e+00 
 1.700000000000e-04  1.132534426631e+00  8.129685319912e-01  5.728062116366e-02 -7.601829681316e+00 
 1.710000000000e-04  1.122513501783e+00  8.094455098001e-01  5.726425949630e-02 -7.567121824451e+00 
 1.720000000000e-04  1.112485193272e+00  8.061834114328e-01  5.724901999146e-02 -7.532013763275e+00 
 1.730000000000e-04  1.102446405060e+00  8.031764616617e-01  5.723489527944e-02 -7.496481850763e+00 
 1.740000000000e-04  1.092397562026e+00  8.004124669479e-01  5.722184583744e-02 -7.460503376983e+00 
 1.750000000000e-04  1.082342523685e+00  7.978728172206e-01  5.720979934782e-02 -7.424057556347e+00 
 1.760000000000e-04  1.072288034046e+00  7.955333820041e-01  5.719865449534e-02 -7.387126430665e+00 
 1.770000000000e-04  1.062242822088e+00  7.933661904518e-01  5.718828876171e-02 -7.349695562075e+00 
 1.780000000000e-04  1.052216566399e+00  7.913415544721e-01  5.717856861362e-02 -7.311754430751e+00 
 1.790000000000e-04  1.042218948324e+00  7.894301902548e-01  5.716935991520e-02 -7.273296515454e+00 
 1.800000000000e-04  1.032258947379e+00  7.876049541122e-01  5.716053664086e-02 -7.234319096651e+00 
 1.810000000000e-04  1.022344429757e+00  7.858419814049e-01  5.715198678380e-02 -7.194822861761e+00 
 1.820000000000e-04  1.012481996452e+00  7.841212078792e-01  5.714361528744e-02 -7.154811403504e+00 
 1.830000000000e-04  1.002677015490e+00  7.824263874685e-01  5.713534450042e-02 -7.114290690741e+00 
 1.840000000000e-04  9.929337586915e-01  7.807447760929e-01  5.712711295266e-02 -7.073268568134e+00 
 1.850000000000e-04  9.832555803985e-01  7.790666437021e-01  5.711887323123e-02 -7.031754316548e+00 
 1.860000000000e-04  9.736450980180e-01  7.773847373345e-01  5.711058955773e-02 -6.989758286469e+00 
 1.870000000000e-04  9.641043534181e-01  7.756937720299e-01  5.710223545010e-02 -6.947291603724e+00 
 1.880000000000e-04  9.546349472280e-01  7.739899881929e-01  5.709379166704e-02 -6.904365939688e+00 
 1.890000000000e-04  9.452381455974e-01  7.722707878817e-01  5.708524450634e-02 -6.860993335380e+00 
 1.900000000000e-04  9.359149625290e-01  7.705344474064e-01  5.707658445419e-02 -6.817186068662e+00 
 1.910000000000e-04  9.266662220958e-01  7.687798964929e-01  5.706780514156e-02 -6.772956554838e+00 
 1.920000000000e-04  9.174926048281e-01  7.670065520762e-01  5.705890255877e-02 -6.728317272588e+00 
 1.930000000000e-04  9.083946820018e-01  7.652141952072e-01  5.704987447111e-02 -6.683280708800e+00 
 1.940000000000e-04  8.993729408612e-01  7.634028811357e-01  5.704071999320e-02 -6.637859317309e+00 
 1.950000000000e-04  8.904278031279e-01  7.615728745148e-01  5.703143928210e-02 -6.592065487782e+00 
 1.960000000000e-04  8.815596385887e-01  7.597246034626e-01  5.702203332157e-02 -6.545911521904e+00 
 1.970000000000e-04  8.727687750914e-01  7.578586277363e-01  5.701250377426e-02 -6.499409614759e+00 
 1.980000000000e-04  8.640555059295e-01  7.559756174902e-01  5.700285288533e-02 -6.452571839833e+00 
 1.990000000000e-04  8.554200953360e-01  7.540763400368e-01  5.699308342534e-02 -6.405410136475e+00 
 2.000000000000e-04  8.468627826070e-01  7.521616527331e-01  5.698319866431e-02 -6.357936298932e+00 
 2.010000000000e-04  8.383837852379e-01  7.502325006356e-01  5.697320237021e-02 -6.310161966288e+00 
 2.020000000000e-04  8.299833013506e-01  7.482899179424e-01  5.696309882607e-02 -6.262098612793e+00 
 2.030000000000e-04  8.216615116100e-01  7.463350325008e-01  5.695289286554e-02 -6.213757538188e+00 
 2.040000000000e-04  8.134185807826e-01  7.443690728262e-01  5.694258992106e-02 -6.165149857685e+00 
 2.050000000000e-04  8.052546590411e-01  7.423933771780e-01  5.693219608407e-02 -6.116286491367e+00 
 2.060000000000e-04  7.971698830987e-01  7.404094042730e-01  5.692171817696e-02 -6.067178152807e+00 
 2.070000000000e-04  7.891643772286e-01  7.384187451943e-01  5.691116383068e-02 -6.017835336733e+00 
 2.080000000000e-04  7.812382542135e-01  7.364231359948e-01  5.690054156930e-02 -5.968268305677e+00 
 2.090000000000e-04  7.733916162577e-01  7.344244703666e-01  5.688986089733e-02 -5.918487075544e+00 
 2.100000000000e-04  7.656245558830e-01  7.324248116087e-01  5.687913238302e-02 -5.868501400146e+00 
 2.110000000000e-04  7.579371568221e-01  7.304264029311e-01  5.686836773669e-02 -5.818320754832e+00 
 2.120000000000e-04  7.503294949205e-01  7.284316749369e-01  5.685757987321e-02 -5.767954319435e+00 
 2.130000000000e-04  7.428016390476e-01  7.264432489349e-01  5.684678295463e-02 -5.717410960885e+00 
 2.140000000000e-04  7.353536520124e-01  7.244639345807e-01  5.683599240000e-02 -5.666699216000e+00 
 2.150000000000e-04  7.279855914776e-01  7.224967202863e-01  5.682522485656e-02 -5.615827275071e+00 
